year,category,institute_id,name,city,state,tlr,rpc,go,oi,pr,score,rank,pdf_url,graph_url
2016,Engineering,IR17-ENGG-2-1-340,Indian Institute of Technology Ropar,Rupnagar,Punjab,78.92,27.63,62.97,76.06,7.68,52.93,21,https://nirfcdn.azureedge.net/rankingpdf2017/IR17-ENGG-2-1-340.pdf,
2016,Engineering,IR17-ENGG-1-1-493,National Institute of Technology Surathkal,Surathkal,Karnataka,62.53,32.6,73.71,64.28,31.56,52.87,22,https://nirfcdn.azureedge.net/rankingpdf2017/IR17-ENGG-1-1-493.pdf,
2016,Engineering,IR17-ENGG-1-18632,Indian Institute of Technology (Indian School of Mines),Dhanbad,Jharkhand,57.19,40.14,69.42,67.49,27.52,52.58,23,https://nirfcdn.azureedge.net/rankingpdf2017/IR17-ENGG-1-18632.pdf,
2016,Engineering,IR17-ENGG-1-1-2809541361,"College of Engineering, Pune",Pune,Maharashtra,70.56,24.47,70.09,69.81,26.33,52.14,24,https://nirfcdn.azureedge.net/rankingpdf2017/IR17-ENGG-1-1-2809541361.pdf,
2016,Engineering,IR17-ENGG-2-18477,Shanmugha Arts Science Technology & Research Academy (SASTRA),Thanjavur,Tamil Nadu,62.38,36.31,67.32,67.13,16.73,51.44,25,https://nirfcdn.azureedge.net/rankingpdf2017/IR17-ENGG-2-18477.pdf,
2016,Engineering,IR17-ENGG-2-1-2813959492,Thapar University,Patiala,Punjab,56.85,41.77,73.33,52.08,18.9,51.35,26,https://nirfcdn.azureedge.net/rankingpdf2017/IR17-ENGG-2-1-2813959492.pdf,
2016,Engineering,IR17-ENGG-1-1-2811256746,Sri Sivasubrmaniya Nadar College of Engineering,Kalavakkam,Tamil Nadu,74.22,24.88,65.82,61.56,17.17,50.77,27,https://nirfcdn.azureedge.net/rankingpdf2017/IR17-ENGG-1-1-2811256746.pdf,
2016,Engineering,IR17-ENGG-1-1-249,Indian Institute of Space Science and Technology,Thiruvananthapuram,Kerala,81.23,14.74,60.24,70.29,27.33,50.6,28,https://nirfcdn.azureedge.net/rankingpdf2017/IR17-ENGG-1-1-249.pdf,
2016,Engineering,IR17-ENGG-2-18639,Indian Institute of Technology Mandi,Mandi,Himachal Pradesh,78.98,17.99,66.78,74.26,7.24,50.6,28,https://nirfcdn.azureedge.net/rankingpdf2017/IR17-ENGG-2-18639.pdf,
2016,Engineering,IR17-ENGG-1-18628,Indian Institute of Technology Gandhinagar,Ahmedabad,Gujarat,79.73,14.41,59.25,75.94,27.54,50.43,30,https://nirfcdn.azureedge.net/rankingpdf2017/IR17-ENGG-1-18628.pdf,
